state,numColonies
Alabama,70
Arizona,270
Arkansas,240
California,3100
Colorado,320
Florida,2150
Georgia,960
Hawaii,160
Idaho,970
Illinois,100
Indiana,70
Iowa,370
Kansas,70
Kentucky,50
Louisiana,500
Maine,120
Michigan,890
Minnesota,1240
Mississippi,190
Missouri,80
Montana,1590
Nebraska,480
New Jersey,120
New York,640
North Carolina,120
North Dakota,4850
Ohio,150
Oregon,740
Pennsylvania,190
South Carolina,160
South Dakota,2800
Tennessee,60
Texas,1330
Utah,310
Vermont,60
Virginia,50
Washington,840
West Virginia,50
Wisconsin,540
Wyoming,400