state,abbreviation,bees,temps
Alabama,AL,38,3.1
Alaska,AK,,0.2
Arizona,AZ,33,3.2
Arkansas,AR,21,3.6
California,CA,194,2.7
Colorado,CO,9,3.4
Connecticut,CT,,4.3
Delaware,DE,,4.7
Florida,FL,141,3.0
Georgia,GA,54,3.3
Hawaii,HI,-9,
Idaho,ID,3,1.8
Illinois,IL,28,4.8
Indiana,IN,69,5
Iowa,IA,49,4.7
Kansas,KS,36,3.8
Kentucky,KY,41,4.4
Louisiana,LA,-19,3.7
Maine,ME,-7,3.1
Maryland,MD,,4.2
Massachusetts,MA,,3.8
Michigan,MI,14,3.9
Minnesota,MN,21,3.7
Mississippi,MS,33,3.6
Missouri,MO,104,4.6
Montana,MT,-60,4.3
Nebraska,NE,79,4.6
Nevada,NV,,2.8
New Hampshire,NH,,3.7
New Jersey,NJ,23,4.4
New Mexico,NM,,3.1
New York,NY,46,4.1
North Carolina,NC,178,3.6
North Dakota,ND,-325,3.9
Ohio,OH,74,4.9
Oklahoma,OK,,3.3
Oregon,OR,-14,1.6
Pennsylvania,PA,59,4.2
Rhode Island,RI,,4.1
South Carolina,SC,40,3.5
South Dakota,SD,-109,4.6
Tennessee,TN,134,3.9
Texas,TX,52,3.5
Utah,UT,16,2.8
Vermont,VT,3,3.9
Virginia,VA,72,3.7
Washington,WA,-2,0.9
West Virginia,WV,88,4.1
Wisconsin,WI,70,3.7
Wyoming,WY,1,3.7