ST,STATE,AVG,MAX,MIN
AL,Alabama,60.1,72.1,48.0
AZ,Arizona,58.8,73.0,44.6
AR,Arkansas,57.9,69.6,46.2
CA,California,57.2,70.0,44.4
CO,Colorado,44.5,58.9,30.2
CT,Connecticut,47.3,57.9,36.6
DE,Delaware,53.1,63.7,42.5
FL,Florida,68.6,79.5,57.7
GA,Georgia,60.9,72.9,48.9
ID,Idaho,41.7,54.0,29.4
IL,Illinois,49.3,60.7,37.9
IN,Indiana,48.9,60.2,37.5
IA,Iowa,46.3,58.3,34.2
KS,Kansas,53.4,67.0,39.8
KY,Kentucky,52.3,64.1,40.5
LA,Louisiana,63.7,74.9,52.5
ME,Maine,39.5,49.8,29.1
MD,Maryland,52.5,63.2,41.8
MA,Massachusetts,46.3,56.9,35.6
MI,Michigan,42.1,52.9,31.3
MN,Minnesota,39.7,51.9,27.5
MS,Mississippi,60.7,72.7,48.8
MO,Missouri,52.5,64.7,40.3
MT,Montana,42.0,54.5,29.4
NE,Nebraska,48.4,62.0,34.8
NV,Nevada,49.2,63.3,35.0
NH,New Hampshire,41.6,52.9,30.4
NJ,New Jersey,50.5,61.1,40.0
NM,New Mexico,51.7,66.8,36.4
NY,New York,43.0,53.1,32.8
NC,North Carolina,56.6,68.4,44.7
ND,North Dakota,40.3,53.2,27.4
OH,Ohio,47.9,59.0,36.8
OK,Oklahoma,57.8,70.8,44.8
OR,Oregon,45.9,57.8,34.0
PA,Pennsylvania,46.2,57.0,35.3
RI,Rhode Island,48.0,57.8,38.2
SC,South Carolina,60.3,72.1,48.4
SD,South Dakota,45.3,58.9,31.7
TN,Tennessee,54.7,66.7,42.7
TX,Texas,62.3,74.6,50.0
UT,Utah,47.4,61.0,33.8
VT,Vermont,40.4,51.2,29.6
VA,Virginia,53.1,64.9,41.2
WA,Washington,45.4,55.3,35.5
WV,West Virginia,48.9,60.7,37.1
WI,Wisconsin,40.6,52.6,28.6
WY,Wyoming,41.0,54.4,27.6